precision@5,recall@5,f1@5,precision@10,recall@10,f1@10,precision@15,recall@15,f1@15,layer,head
0.40320000000000006,0.24725881272275133,0.28778874478427086,0.3428603174603174,0.39493516440248505,0.3457005874055773,0.30433640803640805,0.4862974004081051,0.35588630945710015,4,12
0.4064,0.2509969422260982,0.29147622140465773,0.3448603174603174,0.3985409002303739,0.3485066487679595,0.30593640803640804,0.4887714652952976,0.35801184459731394,5,1
0.414,0.25551913583044283,0.2962297505415743,0.3478603174603174,0.400188297334922,0.3507635645966195,0.307536408036408,0.48973693205198454,0.3592528951368836,5,2
0.4044,0.248631364717702,0.2886344578470604,0.3450603174603174,0.399715135715553,0.3485372710416318,0.30380307470307466,0.4862375873540667,0.3556712962372455,5,3
0.42160000000000003,0.26150531210686684,0.30299021059980524,0.35386031746031743,0.4057026612162061,0.3561831737983912,0.31206974136974136,0.4963969600335801,0.36478689291853755,5,4
0.4,0.2505686141011589,0.28915568161338906,0.3486603174603174,0.4023685048440937,0.35215488786455207,0.3111364080364081,0.49635740416137514,0.3638723228323955,5,5
0.41120000000000007,0.2539198783542975,0.2943195443305167,0.35106031746031746,0.40489392207080993,0.35432718563949156,0.31060307470307463,0.4952244348081237,0.3629935159660554,5,6
0.432,0.2694395493952063,0.31176057614921376,0.36286031746031744,0.4176358860780216,0.3663190441327987,0.3202030747030747,0.5083128594988265,0.3737868465591541,5,7
0.43360000000000004,0.27073229173460367,0.31257467278479373,0.3682603174603174,0.4206407789489193,0.3704446165190618,0.32166974136974136,0.5093537412147386,0.3749793994162187,5,8
0.37839999999999996,0.23273652674444503,0.27015334058299717,0.33866031746031744,0.39174392870070956,0.3419165352430184,0.30220307470307467,0.482249955312706,0.3533737141991274,5,9
0.4096,0.25408217893653684,0.29424316495322295,0.3458603174603174,0.3989263115822074,0.34899848865009186,0.307536408036408,0.49142435132059575,0.3597128741262423,5,10
0.3952,0.24123666423725984,0.28098959926328587,0.3428603174603174,0.39307483113995434,0.3447262517604756,0.30433640803640805,0.4856895789413221,0.35570751356615826,5,11
0.4272,0.26588712202082776,0.3073419282677781,0.3660603174603174,0.4180680340668091,0.3682488188204356,0.31860307470307475,0.5044236444453231,0.37155914570877574,5,12
0.3884,0.2388270667142891,0.2772477251986849,0.33786031746031747,0.3913437058300229,0.3414745675674673,0.30460307470307474,0.4851718358224786,0.35596753136488973,6,1
0.3804,0.23447347998454138,0.2726713384209373,0.32286031746031746,0.3709326939892292,0.32544833399622713,0.2814030747030747,0.4535485631696292,0.33046349892943844,6,2
0.41679999999999995,0.25936890427665094,0.30022943065187496,0.3524603174603175,0.4036335985163687,0.3547633597319337,0.3120697413697414,0.49487371314727957,0.3640498579964289,6,3
0.4104,0.25711305535858975,0.2966155813934423,0.3482603174603175,0.40423432626025513,0.3522281731384883,0.3114030747030747,0.4968071068979032,0.36402526625037457,6,4
0.4144,0.25810151242656626,0.29865444506552846,0.3480603174603175,0.40238179940961605,0.3515454981983083,0.30566974136974134,0.4890874001998211,0.3576914443045111,6,5
0.38639999999999997,0.240412254505265,0.27811796445452414,0.3330603174603175,0.38476364432506915,0.33630392074356497,0.29913640803640806,0.47875059914173856,0.35029697304366075,6,6
0.42560000000000003,0.26445643937943375,0.3061649146352692,0.36426031746031745,0.4173541880429786,0.3667384072703091,0.318736408036408,0.5041151904609402,0.3715324728975671,6,7
0.3868000000000001,0.2380849986827608,0.2764747111414284,0.32746031746031745,0.3778141139702891,0.33041967550407425,0.29220307470307466,0.4668715459275124,0.34184313157811336,6,8
0.4032,0.2500511572605764,0.28985521785400886,0.34466031746031744,0.3973645088744631,0.34804967936653314,0.31060307470307474,0.49414072745977444,0.3629041058036912,6,9
0.39520000000000005,0.250100676552201,0.2865952938238227,0.3470603174603175,0.40571649320801295,0.3528151011058072,0.3112697413697414,0.496724734457996,0.3642222163529814,6,10
0.4312,0.26770203629770867,0.31004577032447483,0.3630603174603174,0.4179522289829094,0.3665493258439923,0.319936408036408,0.5068914669795239,0.37317143822894067,6,11
0.41320000000000007,0.257716463743328,0.29782708378730693,0.3512603174603175,0.4046816473029321,0.3543683093460027,0.31166974136974135,0.4946265685108329,0.3636006059445727,6,12
0.4136,0.25766949608250594,0.2979802038194363,0.3512603174603175,0.4046674540028255,0.3545481597611783,0.3110030747030747,0.49596312392594866,0.3635953944304964,7,1
0.4060000000000001,0.2466502895237954,0.2881670226856071,0.34526031746031755,0.3934322871686178,0.3466827254913061,0.30633640803640805,0.486279133933475,0.35752751230910007,7,2
0.3948000000000001,0.24711222547500308,0.28447373559169553,0.34146031746031746,0.3939781466870476,0.3444113140283547,0.30700307470307475,0.48923782644819125,0.35882737430270734,7,3
0.37960000000000005,0.2356107775508469,0.2729896731256637,0.32346031746031745,0.3753392888216115,0.3271457157178477,0.28820307470307466,0.46244945660783926,0.3376855169049634,7,4
0.406,0.25188668171204515,0.2920993118249271,0.3534603174603175,0.4066819050458672,0.3564698192649105,0.3131364080364081,0.49800171542859656,0.3658300374734052,7,5
0.422,0.26404584330769215,0.3045420297080936,0.3604603174603174,0.4159315452493942,0.3639359223605316,0.3152697413697414,0.5018242124191747,0.36832210222965794,7,6
